WKT;ID;SPANNINGSN
"POINT (51.4948154479096 5.21706675725778)";391870.0000000000;LS
"POINT (52.3910340369673 6.7835898480751)";400167.0000000000;LS
"POINT (51.6050914526698 5.14618006535181)";397852.0000000000;LS
"POINT (51.411871109474 5.99576492724805)";391934.0000000000;LS
"POINT (52.3353556360125 6.11108748998373)";368519.0000000000;LS
"POINT (51.2370201994005 5.94957119406286)";391930.0000000000;LS
"POINT (51.2617164593466 5.89786349593612)";391931.0000000000;LS
"POINT (51.2467288421428 6.03178060879889)";391932.0000000000;LS
"POINT (51.2128137674667 5.94824102410583)";391935.0000000000;LS
"POINT (51.5624341154812 4.87612677426783)";398592.0000000000;LS
"POINT (51.5553561988029 5.0889623178803)";395848.0000000000;LS
"POINT (52.3197447783671 6.51816189792399)";368589.0000000000;LS
"POINT (52.3096426034992 6.54952348568428)";368590.0000000000;LS
"POINT (51.3832330567595 5.90601711300849)";391811.0000000000;LS
"POINT (51.3779108856517 5.56767393850922)";391812.0000000000;LS
"POINT (52.3695926453023 6.72957332440567)";400165.0000000000;LS
"POINT (51.4884881477445 5.12538391594698)";391872.0000000000;LS
"POINT (51.5081560061627 5.11959554586443)";391873.0000000000;LS
"POINT (51.5957661079638 4.81165856966775)";391874.0000000000;LS
"POINT (51.687265858902 5.30276296651109)";391876.0000000000;LS
"POINT (52.3389680068584 6.18074697111721)";368456.0000000000;LS
"POINT (51.4820157269022 5.13181734024802)";391847.0000000000;LS
"POINT (51.4648379961299 5.13990968289008)";391848.0000000000;LS
"POINT (51.4862121845691 5.13878356577236)";391849.0000000000;LS
"POINT (51.4850695502461 5.13479244018229)";391850.0000000000;LS
"POINT (51.4863033066557 5.42409804642827)";396999.0000000000;LS
"POINT (51.2578893386569 5.98572101419161)";391905.0000000000;LS
"POINT (51.4168629102538 6.02385531026101)";391906.0000000000;LS
"POINT (51.3955385592165 5.95499344398852)";391907.0000000000;LS
"POINT (52.3478058170253 6.11447680972678)";368513.0000000000;LS
"POINT (52.3454868219933 6.08245103917808)";368514.0000000000;LS
"POINT (51.2232772801358 6.03634435200606)";391908.0000000000;LS
"POINT (51.5663563537168 4.87114140903476)";398591.0000000000;LS
"POINT (51.5069022277175 5.77695983913447)";401852.0000000000;LS
"POINT (52.3159494511976 6.52393250622975)";368578.0000000000;LS
"POINT (52.3925475266554 6.62905211793565)";391967.0000000000;LS
"POINT (51.6893008114005 5.27757157724488)";391969.0000000000;LS
"POINT (52.574584301766 5.91754633602624)";391970.0000000000;LS
"POINT (51.2600051615949 5.91928147979724)";397861.0000000000;LS
"POINT (53.3461840803091 6.79840284686386)";398058.0000000000;LS
"POINT (52.3348915689761 6.14068963010939)";368458.0000000000;LS
"POINT (51.5086742347465 5.10211836239978)";391851.0000000000;LS
"POINT (51.5019115731372 5.12740567390561)";391852.0000000000;LS
"POINT (51.5152472257342 5.08008114769286)";391853.0000000000;LS
"POINT (51.5114911686692 5.08871387094411)";391854.0000000000;LS
"POINT (52.3340416677371 6.11268132879066)";368457.0000000000;LS
"POINT (52.3523615638991 6.13792750049267)";368459.0000000000;LS
"POINT (51.2228087648988 5.80045595770372)";391910.0000000000;LS
"POINT (51.1942029087167 5.75268643374964)";391911.0000000000;LS
"POINT (52.3488368085973 6.11255170744274)";368516.0000000000;LS
"POINT (52.3490944619133 6.10970956050219)";368515.0000000000;LS
"POINT (51.1846596983797 5.81756442474088)";391912.0000000000;LS
"POINT (51.2276949087677 5.81505464403027)";391913.0000000000;LS
"POINT (51.4249989135098 5.48515049285204)";395843.0000000000;LS
"POINT (53.3347504733781 6.58647510049814)";395844.0000000000;LS
"POINT (51.3484662185838 5.70341234670887)";407835.0000000000;LS
"POINT (52.6729564123807 6.65555577855869)";391973.0000000000;LS
"POINT (53.1402884519389 6.17553408603108)";391976.0000000000;LS
"POINT (53.1749599671817 6.18473612612887)";391977.0000000000;LS
"POINT (51.184484553403 6.01650865020882)";397862.0000000000;LS
"POINT (52.3148296895406 6.51971633793022)";368580.0000000000;LS
"POINT (52.5694490454318 6.53167103761112)";407823.0000000000;LS
"POINT (51.4996849423788 5.11892229866836)";391856.0000000000;LS
"POINT (51.733722757667 5.12835042275706)";391857.0000000000;LS
"POINT (51.695562626149 5.15474360691925)";397851.0000000000;LS
"POINT (51.7275826804576 5.13560029305364)";391859.0000000000;LS
"POINT (51.4727447645216 5.43988306834875)";397003.0000000000;LS
"POINT (51.4754790404822 5.43593662990777)";397004.0000000000;LS
"POINT (52.3068624404046 6.13890646575143)";368460.0000000000;LS
"POINT (52.3140882268631 6.08713767813419)";368518.0000000000;LS
"POINT (51.2531201904075 5.97457054847868)";391914.0000000000;LS
"POINT (51.4103286706944 6.04546410004621)";391915.0000000000;LS
"POINT (51.2341628557621 5.95034243091223)";391916.0000000000;LS
"POINT (51.4158818527864 5.99868015567296)";391917.0000000000;LS
"POINT (52.6402866884279 6.57278331327982)";407825.0000000000;LS
"POINT (51.4547671551624 6.05042518779434)";391919.0000000000;LS
"POINT (52.1903935326024 6.55405010095565)";400162.0000000000;LS
"POINT (52.7735010354892 6.45554070136816)";407826.0000000000;LS
