WKT;ID;SPANNINGSN
"POINT (52.4436178506583 6.34219251224179)";367606.0000000000;MS
"POINT (52.5267805626281 6.42528685551969)";367616.0000000000;MS
"POINT (51.5874811387503 5.14032758966322)";403910.0000000000;MS
"POINT (52.4380346138331 6.39222277280845)";367632.0000000000;MS
"POINT (52.6236847673606 6.04140112046666)";367853.0000000000;MS
"POINT (52.2506968103568 6.17948043744588)";367958.0000000000;MS
"POINT (52.2706097276537 6.15346876956702)";367959.0000000000;MS
"POINT (52.2605182145598 6.14293806170087)";367960.0000000000;MS
"POINT (52.245344076522 6.21508114903421)";367962.0000000000;MS
"POINT (52.2421197224429 6.19674297976805)";367963.0000000000;MS
"POINT (52.4756876516785 6.50528159616874)";392663.0000000000;MS
"POINT (52.4119350327396 6.48557467049406)";368203.0000000000;MS
"POINT (52.2500198879732 6.28621197121763)";367873.0000000000;MS
"POINT (52.2421408788269 6.17695833537705)";367981.0000000000;MS
"POINT (52.3658411362756 6.46186871123008)";368111.0000000000;MS
"POINT (51.7302564565751 4.96133685744528)";405054.0000000000;MS
"POINT (52.298020263187 6.11314020541757)";367990.0000000000;MS
"POINT (52.2848538375186 6.1499102035306)";367999.0000000000;MS
"POINT (51.2540697013244 5.70482986509643)";404788.0000000000;MS
"POINT (52.2521974535461 6.28663194520158)";367889.0000000000;MS
"POINT (52.2850093990605 6.27186772894589)";368011.0000000000;MS
"POINT (51.5382720181513 5.10468777426808)";392641.0000000000;MS
"POINT (52.4195600695335 6.48417218059833)";368144.0000000000;MS
"POINT (51.5078126392258 5.31193608496331)";399853.0000000000;MS
"POINT (52.3599829184755 6.98685873859742)";392897.0000000000;MS
"POINT (52.2513055708295 6.21292551113106)";367940.0000000000;MS
"POINT (52.2617072957297 6.28222187618916)";368063.0000000000;MS
"POINT (52.2981862086994 6.46233297608542)";368297.0000000000;MS
"POINT (52.2744644856651 6.35160835289148)";368296.0000000000;MS
"POINT (51.7657728885999 5.51943075644808)";391333.0000000000;MS
"POINT (51.4011410931488 5.41092227818166)";391428.0000000000;MS
"POINT (51.5522250941824 4.46774461161437)";405055.0000000000;MS
"POINT (51.751197872396 5.86374779338368)";396037.0000000000;MS
"POINT (51.3529989722792 5.46228364006679)";394359.0000000000;MS
"POINT (52.4622761090386 6.56728278530431)";391349.0000000000;MS
"POINT (52.4510222169502 6.48266688967416)";391740.0000000000;MS
"POINT (51.7788448559599 5.55203272897786)";403674.0000000000;MS
"POINT (51.5514797885177 5.10787065440333)";391393.0000000000;MS
"POINT (52.2825268206024 6.42170734136011)";368349.0000000000;MS
"POINT (53.3087319335612 6.89618296663952)";391756.0000000000;MS
"POINT (52.2790172837977 6.18056061688676)";399209.0000000000;MS
"POINT (51.6148782941404 5.07179981933845)";400453.0000000000;MS
"POINT (52.4516648396896 6.56158431901334)";392546.0000000000;MS
"POINT (53.2323957058667 6.8163416991721)";396895.0000000000;MS
"POINT (51.6929232833507 5.32281228767445)";395118.0000000000;MS
"POINT (51.5412276313853 4.94012763150593)";395123.0000000000;MS
"POINT (52.3591872054711 6.5897244360426)";394185.0000000000;MS
"POINT (51.5570623809916 5.78152838892433)";402538.0000000000;MS
"POINT (51.0499805801261 5.84308132197214)";403326.0000000000;MS
"POINT (50.9279868073705 5.8838866202975)";409051.0000000000;MS
"POINT (52.258741208854 6.77650823960414)";397459.0000000000;MS
"POINT (51.4222314575802 5.55287488540186)";408824.0000000000;MS
"POINT (52.4070224819126 6.60204235892066)";394426.0000000000;MS
"POINT (53.3166562168036 6.91909140703355)";395239.0000000000;MS
"POINT (52.3387751072552 6.10636494743895)";368415.0000000000;MS
"POINT (52.2837574030725 6.43119365057457)";368380.0000000000;MS
"POINT (52.1430129707252 6.8322401956302)";395813.0000000000;MS
"POINT (51.4793535767085 5.17822245169726)";400451.0000000000;MS
"POINT (51.5460532047438 5.0659524669244)";404022.0000000000;MS
